FIPS,county_name,county,month,day,year,population,primary_point
19123,Mahaska County,Mahaska,7,1,1992,21516,POINT (-92.6409094 41.3352035)
19079,Hamilton County,Hamilton,7,1,1992,16098,POINT (-93.7068085 42.3837722)
19087,Henry County,Henry,7,1,1992,19490,POINT (-91.5445241 40.9879383)
19051,Davis County,Davis,7,1,1992,8321,POINT (-92.4097173 40.7476891)
19023,Butler County,Butler,7,1,1992,15788,POINT (-92.7901934 42.7315661)
19037,Chickasaw County,Chickasaw,7,1,1992,13219,POINT (-92.3176637 43.0600414)
19115,Louisa County,Louisa,7,1,1992,11644,POINT (-91.2596184 41.2185073)
19027,Carroll County,Carroll,7,1,1992,21429,POINT (-94.8605593 42.0362382)
19155,Pottawattamie County,Pottawattamie,7,1,1992,82864,POINT (-95.5423935 41.3366123)
19007,Appanoose County,Appanoose,7,1,1992,13768,POINT (-92.8686104 40.7431635)
19113,Linn County,Linn,7,1,1992,171320,POINT (-91.5989646 42.0789478)
19171,Tama County,Tama,7,1,1992,17424,POINT (-92.5325425 42.0798117)
19081,Hancock County,Hancock,7,1,1992,12496,POINT (-93.7342723 43.0818861)
19031,Cedar County,Cedar,7,1,1992,17505,POINT (-91.1324125 41.7723207)
19095,Iowa County,Iowa,7,1,1992,14744,POINT (-92.065524 41.6863229)
19143,Osceola County,Osceola,7,1,1992,7290,POINT (-95.6236852 43.3785704)
19085,Harrison County,Harrison,7,1,1992,14712,POINT (-95.8169209 41.6828528)
19057,Des Moines County,Des Moines,7,1,1992,42871,POINT (-91.1814707 40.9231829)
19021,Buena Vista County,Buena Vista,7,1,1992,20076,POINT (-95.151149 42.7354936)
19139,Muscatine County,Muscatine,7,1,1992,40538,POINT (-91.1127562 41.4839221)
19055,Delaware County,Delaware,7,1,1992,18139,POINT (-91.3673502 42.471211)
19075,Grundy County,Grundy,7,1,1992,11957,POINT (-92.7914177 42.4018651)
19013,Black Hawk County,Black Hawk,7,1,1992,125601,POINT (-92.3088197 42.4700957)
19001,Adair County,Adair,7,1,1992,8430,POINT (-94.4709413 41.3307464)
19119,Lyon County,Lyon,7,1,1992,11914,POINT (-96.2102924 43.380497)
19065,Fayette County,Fayette,7,1,1992,22065,POINT (-91.8443207 42.8625919)
19089,Howard County,Howard,7,1,1992,9910,POINT (-92.3171989 43.3567673)
19029,Cass County,Cass,7,1,1992,15062,POINT (-94.9278266 41.3314876)
19015,Boone County,Boone,7,1,1992,25335,POINT (-93.931671 42.0365493)
19019,Buchanan County,Buchanan,7,1,1992,20902,POINT (-91.8378392 42.4707777)
19005,Allamakee County,Allamakee,7,1,1992,13996,POINT (-91.3780923 43.2842838)
19133,Monona County,Monona,7,1,1992,9978,POINT (-95.9599235 42.0516663)
19147,Palo Alto County,Palo Alto,7,1,1992,10613,POINT (-94.6781371 43.0820643)
19059,Dickinson County,Dickinson,7,1,1992,15196,POINT (-95.1508301 43.3779848)
19191,Winneshiek County,Winneshiek,7,1,1992,21065,POINT (-91.8437074 43.2906746)
19091,Humboldt County,Humboldt,7,1,1992,10687,POINT (-94.2071868 42.7764686)
19009,Audubon County,Audubon,7,1,1992,7251,POINT (-94.9058222 41.6845893)
19071,Fremont County,Fremont,7,1,1992,8194,POINT (-95.6046765 40.7455892)
19083,Hardin County,Hardin,7,1,1992,19032,POINT (-93.2404025 42.3838803)
19073,Greene County,Greene,7,1,1992,10110,POINT (-94.3968356 42.0362394)
19127,Marshall County,Marshall,7,1,1992,38209,POINT (-92.9987706 42.0358499)
19149,Plymouth County,Plymouth,7,1,1992,23470,POINT (-96.2140431 42.7378346)
19067,Floyd County,Floyd,7,1,1992,16950,POINT (-92.7890033 43.0599208)
19063,Emmet County,Emmet,7,1,1992,11666,POINT (-94.6784803 43.3780225)
19125,Marion County,Marion,7,1,1992,30183,POINT (-93.0994367 41.3344515)
19053,Decatur County,Decatur,7,1,1992,8185,POINT (-93.7862815 40.7376827)
19141,Obrien County,Obrien,7,1,1992,15530,POINT (-95.6248784 43.0837527)
19093,Ida County,Ida,7,1,1992,8286,POINT (-95.5134962 42.3868747)
19153,Polk County,Polk,7,1,1992,333568,POINT (-93.5735335 41.6855048)
19197,Wright County,Wright,7,1,1992,14224,POINT (-93.7351465 42.7331189)
19121,Madison County,Madison,7,1,1992,12548,POINT (-94.0155619 41.3307142)
19033,Cerro Gordo County,Cerro Gordo,7,1,1992,47206,POINT (-93.2608184 43.0815577)
19035,Cherokee County,Cherokee,7,1,1992,14062,POINT (-95.6238055 42.7356226)
19117,Lucas County,Lucas,7,1,1992,9166,POINT (-93.3277207 41.0293738)
19185,Wayne County,Wayne,7,1,1992,7057,POINT (-93.3273639 40.7394702)
19169,Story County,Story,7,1,1992,74497,POINT (-93.4650448 42.0362415)
19187,Webster County,Webster,7,1,1992,40335,POINT (-94.1817881 42.4279662)
19101,Jefferson County,Jefferson,7,1,1992,16316,POINT (-91.9488774 41.0317596)
19105,Jones County,Jones,7,1,1992,19607,POINT (-91.1314352 42.1212397)
19111,Lee County,Lee,7,1,1992,38913,POINT (-91.479264 40.6419764)
19183,Washington County,Washington,7,1,1992,19827,POINT (-91.7178676 41.335591)
19097,Jackson County,Jackson,7,1,1992,19912,POINT (-90.5742294 42.1717426)
19167,Sioux County,Sioux,7,1,1992,30125,POINT (-96.1778827 43.0826174)
19061,Dubuque County,Dubuque,7,1,1992,86988,POINT (-90.8824564 42.468832)
19039,Clarke County,Clarke,7,1,1992,8353,POINT (-93.7851579 41.0290323)
19003,Adams County,Adams,7,1,1992,4748,POINT (-94.6991849 41.0289839)
19159,Ringgold County,Ringgold,7,1,1992,5405,POINT (-94.2439719 40.7352023)
19069,Franklin County,Franklin,7,1,1992,11314,POINT (-93.262473 42.7325458)
19077,Guthrie County,Guthrie,7,1,1992,11101,POINT (-94.501055 41.6837548)
19041,Clay County,Clay,7,1,1992,17638,POINT (-95.1509194 43.0825804)
19011,Benton County,Benton,7,1,1992,22526,POINT (-92.0656912 42.0801864)
19049,Dallas County,Dallas,7,1,1992,30578,POINT (-94.0397374 41.6848862)
19129,Mills County,Mills,7,1,1992,13227,POINT (-95.6213267 41.0334523)
19045,Clinton County,Clinton,7,1,1992,51064,POINT (-90.5319724 41.8980358)
19175,Union County,Union,7,1,1992,12635,POINT (-94.2423792 41.0277304)
19189,Winnebago County,Winnebago,7,1,1992,11940,POINT (-93.7341955 43.3775678)
19025,Calhoun County,Calhoun,7,1,1992,11497,POINT (-94.6404136 42.3851848)
19131,Mitchell County,Mitchell,7,1,1992,10897,POINT (-92.7890315 43.3564124)
19193,Woodbury County,Woodbury,7,1,1992,99513,POINT (-96.0447673 42.3897169)
19169,Story County,Story,7,1,1993,75130,POINT (-93.4650448 42.0362415)
19023,Butler County,Butler,7,1,1993,15709,POINT (-92.7901934 42.7315661)
19113,Linn County,Linn,7,1,1993,174288,POINT (-91.5989646 42.0789478)
19187,Webster County,Webster,7,1,1993,40283,POINT (-94.1817881 42.4279662)
19115,Louisa County,Louisa,7,1,1993,11479,POINT (-91.2596184 41.2185073)
19111,Lee County,Lee,7,1,1993,39070,POINT (-91.479264 40.6419764)
19027,Carroll County,Carroll,7,1,1993,21483,POINT (-94.8605593 42.0362382)
19125,Marion County,Marion,7,1,1993,30276,POINT (-93.0994367 41.3344515)
19171,Tama County,Tama,7,1,1993,17513,POINT (-92.5325425 42.0798117)
19109,Kossuth County,Kossuth,7,1,1993,18098,POINT (-94.2067199 43.20413)
19179,Wapello County,Wapello,7,1,1993,36037,POINT (-92.4094499 41.0305845)
19105,Jones County,Jones,7,1,1993,19818,POINT (-91.1314352 42.1212397)
19167,Sioux County,Sioux,7,1,1993,30450,POINT (-96.1778827 43.0826174)
19183,Washington County,Washington,7,1,1993,20072,POINT (-91.7178676 41.335591)
19003,Adams County,Adams,7,1,1993,4687,POINT (-94.6991849 41.0289839)
19085,Harrison County,Harrison,7,1,1993,14752,POINT (-95.8169209 41.6828528)
19185,Wayne County,Wayne,7,1,1993,7017,POINT (-93.3273639 40.7394702)
19055,Delaware County,Delaware,7,1,1993,18271,POINT (-91.3673502 42.471211)
19163,Scott County,Scott,7,1,1993,154912,POINT (-90.6232428 41.6370978)
19093,Ida County,Ida,7,1,1993,8290,POINT (-95.5134962 42.3868747)
19129,Mills County,Mills,7,1,1993,13305,POINT (-95.6213267 41.0334523)
19157,Poweshiek County,Poweshiek,7,1,1993,18944,POINT (-92.5314684 41.6864422)
19143,Osceola County,Osceola,7,1,1993,7246,POINT (-95.6236852 43.3785704)
19057,Des Moines County,Des Moines,7,1,1993,43014,POINT (-91.1814707 40.9231829)
19119,Lyon County,Lyon,7,1,1993,11914,POINT (-96.2102924 43.380497)
19049,Dallas County,Dallas,7,1,1993,31360,POINT (-94.0397374 41.6848862)
19103,Johnson County,Johnson,7,1,1993,99364,POINT (-91.5880849 41.6715511)
19037,Chickasaw County,Chickasaw,7,1,1993,13218,POINT (-92.3176637 43.0600414)
19197,Wright County,Wright,7,1,1993,14388,POINT (-93.7351465 42.7331189)
19029,Cass County,Cass,7,1,1993,15056,POINT (-94.9278266 41.3314876)
19019,Buchanan County,Buchanan,7,1,1993,20952,POINT (-91.8378392 42.4707777)
19099,Jasper County,Jasper,7,1,1993,34925,POINT (-93.053765 41.6860394)
19177,Van Buren County,Van Buren,7,1,1993,7700,POINT (-91.9499871 40.7532294)
19091,Humboldt County,Humboldt,7,1,1993,10586,POINT (-94.2071868 42.7764686)
